tweet_id_str,date_time,location,tweet_text
1542410387919982597,2022-06-30 07:31:07+00:00,"Montpellier, France","""This is not herd immunity, it’s the herd getting more and more vulnerable.
...we’re watching water flow uphill. and when you see this, you need to start looking for an external driver.""
https://t.co/UPOzosxBTT https://t.co/kOOOwiqXyz"
1542408389556178944,2022-06-30 07:23:11+00:00,,"Emphasis on the word pointless. “Herd” immunity from #COVID is a pipe dream. It’s not chicken pox. Get it once, get it again. #MaskUp 😷 #GetVaccinated https://t.co/zBb8lqHB8m"
1542408341317877760,2022-06-30 07:22:59+00:00,"nipaluna/Hobart, Australia","It’s a cynical,
pro-business, unscientific herd immunity approach, costing us dearly.

92 Tasmanians lost to Covid &amp; counting, with cases rising &amp; more dangerous BA. 4 &amp; 5 becoming dominant. 

We’ve got one of the world’s highest transmission rates. 

Masks save lives.
#politas https://t.co/YzqMIQGYEo"
1542402776986054656,2022-06-30 07:00:53+00:00,"Boston, MA","China will stick to its 'zero Covid' strategy even if it hurts the country's economy, Xi Jinping... ""Our country has a large population. Such strategies as 'herd immunity' and 'lying flat' would lead to consequences that are unimaginable,"" Xi said. 35m ago https://t.co/QoaKCsYpZ1"
1542375733929971712,2022-06-30 05:13:25+00:00,"Kennewick, WA","How wrong was #DrAtlas? In that March email, he said that judging by early estimates, the virus might cause about 10,000 deaths. In the end, it directly caused at least 1 million deaths in the United States and indirectly many more. https://t.co/bdFdR9iOao"
1542373678029094913,2022-06-30 05:05:15+00:00,,"Everyone should watch this video from February 2020 THE most critical period of the Covid-19 response

THE HERD IMMUNITY PROJECT https://t.co/cLAvWXT7DJ"
1542333615811579906,2022-06-30 02:26:03+00:00,"Tucson, Arizona",How one doctor wrecked the pandemic response   https://t.co/t5YHfTzMpK
1542329014739673089,2022-06-30 02:07:46+00:00,,"No covid for me
I don't mask
Haven't been vaccinated
Young good immune system
Probably built up some kind of antibodies
Herd immunity works
#masksdont
#thatsprovenscience"
1542326302493085696,2022-06-30 01:57:00+00:00,,"President #XiJinping has reiterated that the dynamic zero-COVID policy has proved to be ""correct ""and ""effective"" in China's response to #COVID19 outbreaks, saying that the ""herd immunity ""approach would cause unimaginable consequences. https://t.co/H7LjzB5JK4"
1542320047632302085,2022-06-30 01:32:08+00:00,,"President #XiJinping  has reiterated that the dynamic zero-COVID policy has proved to be ""correct ""and ""effective"" in the nation's response to #COVID19  outbreaks, saying that the ""herd immunity ""approach would cause unimaginable consequences in such a populous country as China. https://t.co/ApemCGY3dB"
1542311143917686784,2022-06-30 00:56:46+00:00,,"It’s actually wearing one, especially knowing that the science doesn’t support wearing a mask prevents exposure to Covid, only the slow of spread. So I’d much rather build a herd immunity as quickly as possible. Even as an immunocompromised individual https://t.co/8TjQfBuNVe"
