,tweet_id_str,date_time,location,tweet_text
39,1542283889179238400,2022-06-29 23:08:28+00:00,,"xi warns herd , vows stick zero"
40,1542283443349889024,2022-06-29 23:06:41+00:00,,opinion scott atlas ' ' herd ' approach wrecked response washington post
41,1542278147403661313,2022-06-29 22:45:39+00:00,South Wales,people understand horrible develop herd allowed spread mutate dodge vaccines. frustrated trying run business. #wearamask #covidisairborne
42,1542276606022090758,2022-06-29 22:39:31+00:00,USA,"xi warns herd , vows stick zero"
43,1542276300290899970,2022-06-29 22:38:18+00:00,Florida,opinion scott atlas ' ' herd ' approach wrecked response washington post
44,1542270503263805440,2022-06-29 22:15:16+00:00,¯\_(ツ)_/¯,sadly qld ' cho ' get memo disproving notion herd variant. perhaps far concerned herd inmunity public health measure shelved viable approach.
45,1542263581722529795,2022-06-29 21:47:46+00:00,UK,"cases uk could hit 300,000 day next week , scientists warn. time herd immunity. pfizer develop jab terrifying omicron variant news. ' almost like marketing campaign. sent"
46,1542258899314688002,2022-06-29 21:29:10+00:00,"Washington, DC","bloomberg xi warns ' herd , ' vows stick zero."
47,1542258370689863680,2022-06-29 21:27:04+00:00,🌎,editorial board one doctor wrecked response
48,1542251252934909953,2022-06-29 20:58:46+00:00,,opinion one doctor wrecked response
49,1542246720196730880,2022-06-29 20:40:46+00:00,N.Y.,select subcommittee releases trump regime herd report must accountability deliberate act negligence many deaths even tweet.
50,1542236680492564480,2022-06-29 20:00:52+00:00,"Nairobi, Kenya","19 enemy within achieving herd guarantee happen year time reduces time dr. loice ombajo , infectious disease specialist uon #jklive"
51,1542231377365504000,2022-06-29 19:39:48+00:00,USA,"herd , herd getting vulnerable. happen like wild. magnitude. watching water flow uphill. see , need start looking external driver."
52,1542223387098902528,2022-06-29 19:08:03+00:00,new york city,one doctor wrecked response
53,1542207281974091776,2022-06-29 18:04:03+00:00,,"xi takes straw men arguing maintaining zero policy country large population , strategies herd lying flat would lead consequences unimaginable."
54,1542203499940806656,2022-06-29 17:49:01+00:00,overal en nergens,"herd , herd getting vulnerable. brilliant article everything need read today ' case sensitive ! . 1 2"
55,1542197883985960963,2022-06-29 17:26:42+00:00,"Manchester, England",1 63 people north west hospitalised due throughout pandemic. yet hospitalisations still surging. herd biggest failed experiment.
56,1542191171174268928,2022-06-29 17:00:02+00:00,"Atlanta, GA",hope herd dwindles alongside federal 19 budget supplies adtx aditxtscore tm could create map 19 immune responses #medical
57,1542175720197218304,2022-06-29 15:58:38+00:00,,less deaths new variant. herd finally thing .
58,1542175355892469760,2022-06-29 15:57:11+00:00,"Here, duh","herd , herd getting vulnerable."
59,1542175029500182528,2022-06-29 15:55:53+00:00,"Stockport, Uk","cases surging towards 300,000 day prompting warnings autumn wave worse expected boris plan ' herd ' worked uk far ?"
60,1542174067847036929,2022-06-29 15:52:04+00:00,,report fauci admits lied country ready hear truth
61,1542173894404194306,2022-06-29 15:51:23+00:00,,"second brazil , u.s. highest deaths per capita world. remember bolsonaro accused mass homicide promoting herd ?"
62,1542173134287167490,2022-06-29 15:48:22+00:00,Hong Kong,"xi warns ' herd ' , vows stick zero policy"
63,1542166836648853505,2022-06-29 15:23:20+00:00,,ai cyber shared trying use fact people believed herd lie order still keep open schools purpose spread track family home structures open zoom. zoom censor
64,1542165592974626816,2022-06-29 15:18:24+00:00,australja,reason still stubborn minority continuing wear masks preventing us reaching herd
65,1542162432222789635,2022-06-29 15:05:50+00:00,A top secret base in the UK ,"disgraceful. control , ignore hope herd loved ones die."
66,1542158546351149056,2022-06-29 14:50:24+00:00,"San Diego, CA","cat opines herd , herd getting vulnerable happen like wild magnitude."
